 "subject" , "predicate" , "object" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/1500m-womenspeed-skating-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/50km-mencross-country-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/15km-mass-start-menbiathlon-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/super-g-womenalpine-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/curling-womencurling-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/team-sprint-womencross-country-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/individual-womenskeleton-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/individual-menfigure-skating-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/20km-menbiathlon-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/super-g-menalpine-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/downhill-menalpine-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/ski-cross-womenfreestyle-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/relay-4x5km-womencross-country-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/slalom-menalpine-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/snowboard-cross-mensnowboard-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/2x500m-menspeed-skating-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/singles-menluge-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/30km-womencross-country-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/1000m-menspeed-skating-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/individual-mennordic-combined-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/10km-womencross-country-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/large-hill-individual-menski-jumping-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/75km-womenbiathlon-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/ice-dancing-mixedfigure-skating-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/ice-hockey-womenice-hockey-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/team-mennordic-combined-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/four-man-menbobsleigh-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/team-pursuit-womenspeed-skating-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/pairs-mixedfigure-skating-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/10km-menbiathlon-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/skiathlon-15km-15km-mencross-country-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/15km-mencross-country-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/two-man-menbobsleigh-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/relay-4x10km-mencross-country-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/1000m-womenspeed-skating-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/slalom-womenalpine-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/4x75km-relay-menbiathlon-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/moguls-womenfreestyle-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/15km-womenbiathlon-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/half-pipe-mensnowboard-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/doubles-mixedluge-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/individual-womenfigure-skating-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/giant-slalom-womenalpine-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/team-sprint-mencross-country-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/sprint-15km-womencross-country-skiing-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/4x6km-relay-womenbiathlon-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/10000m-menspeed-skating-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/1500m-menshort-track-speed-skating-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/ice-hockey-menice-hockey-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/1" , "http://xlore.org/5000m-menspeed-skating-vancouver-2010" ,
 "http://xlore.org/vancouver-2010" , "http://xlore.org/olympic/property/17" , "阿尔巴尼亚,阿尔及利亚,安道尔,阿根廷,亚美尼亚,澳大利亚,奥地利,阿塞拜疆,白俄罗斯,比利时,百慕大,波斯尼亚和黑塞哥维那,巴西,保加利亚,加拿大,开曼群岛,智利,中国,哥伦比亚,克罗地亚,塞浦路斯,捷克,丹麦,爱沙尼亚,埃塞俄比亚,芬兰,法国,格鲁吉亚,德国,加纳,英国,希腊,中国香港,匈牙利,冰岛,印度,伊朗,爱尔兰,以色列,意大利,牙买加,日本,哈萨克斯坦,朝鲜,韩国,吉尔吉斯斯坦,拉脱维亚,黎巴嫩,列支敦士登,立陶宛,马其顿,墨西哥,摩尔多瓦,摩纳哥,蒙古,黑山,摩洛哥,尼泊尔,荷兰,新西兰,挪威,巴基斯坦,秘鲁,波兰,葡萄牙,罗马尼亚,俄罗斯,圣马力诺,塞内加尔,塞尔维亚,斯洛伐克,斯洛文尼亚,南非,西班牙,瑞典,瑞士,中华台北,塔吉克斯坦,土耳其,美国,乌克兰,乌兹别克斯坦" ,
 "http://xlore.org/vancouver-2010" , "http://www.w3.org/2000/01/rdf-schema#label" , 第二十一届冬季奥林匹克运动会 ,
 "http://xlore.org/vancouver-2010" , "http://www.w3.org/2000/01/rdf-schema#label" , "the XXI Olympic Winter Games" ,
 "http://xlore.org/olympic/instance/2839" , "http://xlore.org/olympic/property/5" , "2:20.2_1500m-men_1936" ,
 "http://xlore.org/olympic/instance/2839" , "http://xlore.org/olympic/property/5" , "0:43.4_500m-men_1936" ,
 "http://xlore.org/olympic/instance/2839" , "http://xlore.org/olympic/property/5" , "17:24.3_10000m-men_1936" ,
 "http://xlore.org/olympic/instance/2839" , "http://xlore.org/olympic/property/5" , "08:50.5_5000m-men_1928" ,
 "http://xlore.org/olympic/instance/2839" , "http://xlore.org/olympic/property/5" , "_10000m-men_1932" ,
 "http://xlore.org/olympic/instance/2839" , "http://xlore.org/olympic/property/5" , "08:19.6_5000m-men_1936" ,
 "http://xlore.org/olympic/instance/2839" , "http://xlore.org/olympic/property/5" , "2:22.6_1500m-men_1928" ,
 "http://xlore.org/olympic/instance/2839" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2002/07/owl#NamedIndividual" ,
 "http://xlore.org/olympic/instance/2839" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://xlore.org/concept2" ,
 "http://xlore.org/olympic/instance/2839" , "http://www.w3.org/2000/01/rdf-schema#label" , "Ivar BALLANGRUD" ,
 "http://xlore.org/olympic/instance/2389" , "http://xlore.org/olympic/property/5" , "15:23.6_10000m-men_1968" ,
 "http://xlore.org/olympic/instance/2389" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2002/07/owl#NamedIndividual" ,
 "http://xlore.org/olympic/instance/2389" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://xlore.org/concept2" ,
 "http://xlore.org/olympic/instance/2389" , "http://www.w3.org/2000/01/rdf-schema#label" , "Johnny HÖGLIN" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://www.w3.org/2000/01/rdf-schema#alias" , 加尔米施-帕滕基兴冬奥会 ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://www.w3.org/2000/01/rdf-schema#alias" , "1936年冬季奥林匹克运动会" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://www.w3.org/2000/01/rdf-schema#alias" , 第四届冬奥会 ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2002/07/owl#NamedIndividual" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://xlore.org/concept3" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://xlore.org/olympic/property/1" , "http://xlore.org/alpine-combined-menalpine-skiing-garmisch-partenkirchen-1936" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://xlore.org/olympic/property/1" , "http://xlore.org/alpine-combined-womenalpine-skiing-garmisch-partenkirchen-1936" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://xlore.org/olympic/property/1" , "http://xlore.org/four-man-menbobsleigh-garmisch-partenkirchen-1936" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://xlore.org/olympic/property/1" , "http://xlore.org/1500m-menspeed-skating-garmisch-partenkirchen-1936" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://xlore.org/olympic/property/1" , "http://xlore.org/5000m-menspeed-skating-garmisch-partenkirchen-1936" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://xlore.org/olympic/property/1" , "http://xlore.org/relay-4x10km-mencross-country-skiing-garmisch-partenkirchen-1936" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://xlore.org/olympic/property/1" , "http://xlore.org/pairs-mixedfigure-skating-garmisch-partenkirchen-1936" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://xlore.org/olympic/property/1" , "http://xlore.org/two-man-menbobsleigh-garmisch-partenkirchen-1936" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://xlore.org/olympic/property/1" , "http://xlore.org/10000m-menspeed-skating-garmisch-partenkirchen-1936" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://xlore.org/olympic/property/1" , "http://xlore.org/500m-menspeed-skating-garmisch-partenkirchen-1936" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://xlore.org/olympic/property/1" , "http://xlore.org/ice-hockey-menice-hockey-garmisch-partenkirchen-1936" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://xlore.org/olympic/property/1" , "http://xlore.org/18km-mencross-country-skiing-garmisch-partenkirchen-1936" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://xlore.org/olympic/property/1" , "http://xlore.org/normal-hill-individual-menski-jumping-garmisch-partenkirchen-1936" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://xlore.org/olympic/property/1" , "http://xlore.org/individual-menfigure-skating-garmisch-partenkirchen-1936" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://xlore.org/olympic/property/1" , "http://xlore.org/individual-womenfigure-skating-garmisch-partenkirchen-1936" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://xlore.org/olympic/property/1" , "http://xlore.org/50km-mencross-country-skiing-garmisch-partenkirchen-1936" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://xlore.org/olympic/property/1" , "http://xlore.org/individual-mennordic-combined-garmisch-partenkirchen-1936" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://xlore.org/olympic/property/17" , "澳大利亚,奥地利,比利时,保加利亚,加拿大,捷克斯洛伐克,爱沙尼亚,芬兰,法国,德国,英国,希腊,匈牙利,意大利,日本,拉脱维亚,列支敦士登,卢森堡,荷兰,挪威,波兰,罗马尼亚,西班牙,瑞典,瑞士,土耳其,美国,南斯拉夫" ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://www.w3.org/2000/01/rdf-schema#label" , 第四届冬季奥林匹克运动会 ,
 "http://xlore.org/garmisch-partenkirchen-1936" , "http://www.w3.org/2000/01/rdf-schema#label" , "the IV Olympic Winter Games" ,
 "http://xlore.org/olympic/instance/2034" , "http://xlore.org/olympic/property/5" , "1:36.68_downhill-women_1972" ,
 "http://xlore.org/olympic/instance/2034" , "http://xlore.org/olympic/property/5" , "1:29.90_giant-slalom-women_1972" ,
 "http://xlore.org/olympic/instance/2034" , "http://xlore.org/olympic/property/5" , "1:38.36_downhill-women_1980" ,
 "http://xlore.org/olympic/instance/2034" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2002/07/owl#NamedIndividual" ,
 "http://xlore.org/olympic/instance/2034" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://xlore.org/concept2" ,
 "http://xlore.org/olympic/instance/2034" , "http://www.w3.org/2000/01/rdf-schema#label" , "Marie-Theres NADIG" ,
 "http://xlore.org/2x500m-menspeed-skating-sochi-2014" , "http://xlore.org/olympic/property/4" , "http://xlore.org/olympic/instance/570" ,
 "http://xlore.org/2x500m-menspeed-skating-sochi-2014" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2002/07/owl#NamedIndividual" ,
 "http://xlore.org/2x500m-menspeed-skating-sochi-2014" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://xlore.org/sport15" ,
 "http://xlore.org/2x500m-menspeed-skating-sochi-2014" , "http://xlore.org/olympic/property/3" , "http://xlore.org/olympic/instance/569" ,
 "http://xlore.org/2x500m-menspeed-skating-sochi-2014" , "http://xlore.org/olympic/property/2" , "http://xlore.org/olympic/instance/568" ,
 "http://xlore.org/2x500m-menspeed-skating-sochi-2014" , "http://www.w3.org/2000/01/rdf-schema#label" , "男子500m" ,
 "http://xlore.org/2x500m-menspeed-skating-sochi-2014" , "http://www.w3.org/2000/01/rdf-schema#label" , "2x500m-men" ,
 "http://xlore.org/four-man-menbobsleigh-calgary-1988" , "http://xlore.org/olympic/property/4" , "http://xlore.org/olympic/instance/115" ,
 "http://xlore.org/four-man-menbobsleigh-calgary-1988" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2002/07/owl#NamedIndividual" ,
 "http://xlore.org/four-man-menbobsleigh-calgary-1988" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://xlore.org/sport3" ,
 "http://xlore.org/four-man-menbobsleigh-calgary-1988" , "http://xlore.org/olympic/property/3" , "http://xlore.org/olympic/instance/72" ,
 "http://xlore.org/four-man-menbobsleigh-calgary-1988" , "http://xlore.org/olympic/property/2" , "http://xlore.org/olympic/instance/1822" ,
 "http://xlore.org/four-man-menbobsleigh-calgary-1988" , "http://www.w3.org/2000/01/rdf-schema#label" , 男子四人座 ,
 "http://xlore.org/four-man-menbobsleigh-calgary-1988" , "http://www.w3.org/2000/01/rdf-schema#label" , "four-man-men" ,
 "http://xlore.org/olympic/instance/1254" , "http://xlore.org/olympic/property/5" , "42.1_half-pipe-men_2002" ,
 "http://xlore.org/olympic/instance/1254" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2002/07/owl#NamedIndividual" ,
 "http://xlore.org/olympic/instance/1254" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://xlore.org/concept2" ,
 "http://xlore.org/olympic/instance/1254" , "http://www.w3.org/2000/01/rdf-schema#label" , "Jarret THOMAS" ,
 "http://xlore.org/super-g-womenalpine-skiing-calgary-1988" , "http://xlore.org/olympic/property/4" , "http://xlore.org/olympic/instance/1800" ,
 "http://xlore.org/super-g-womenalpine-skiing-calgary-1988" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://xlore.org/sport1" ,
 "http://xlore.org/super-g-womenalpine-skiing-calgary-1988" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2002/07/owl#NamedIndividual" ,
 "http://xlore.org/super-g-womenalpine-skiing-calgary-1988" , "http://xlore.org/olympic/property/3" , "http://xlore.org/olympic/instance/1808" ,
 "http://xlore.org/super-g-womenalpine-skiing-calgary-1988" , "http://xlore.org/olympic/property/2" , "http://xlore.org/olympic/instance/1807" ,
 "http://xlore.org/super-g-womenalpine-skiing-calgary-1988" , "http://www.w3.org/2000/01/rdf-schema#label" , "super-g-women" ,
 "http://xlore.org/super-g-womenalpine-skiing-calgary-1988" , "http://www.w3.org/2000/01/rdf-schema#label" , 女子超级大回转 ,
 "http://xlore.org/four-man-menbobsleigh-turin-2006" , "http://xlore.org/olympic/property/4" , "http://xlore.org/olympic/instance/115" ,
 "http://xlore.org/four-man-menbobsleigh-turin-2006" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2002/07/owl#NamedIndividual" ,
 "http://xlore.org/four-man-menbobsleigh-turin-2006" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://xlore.org/sport3" ,
 "http://xlore.org/four-man-menbobsleigh-turin-2006" , "http://xlore.org/olympic/property/3" , "http://xlore.org/olympic/instance/72" ,
 "http://xlore.org/four-man-menbobsleigh-turin-2006" , "http://xlore.org/olympic/property/2" , "http://xlore.org/olympic/instance/70" ,
 "http://xlore.org/four-man-menbobsleigh-turin-2006" , "http://www.w3.org/2000/01/rdf-schema#label" , 男子四人座 ,
 "http://xlore.org/four-man-menbobsleigh-turin-2006" , "http://www.w3.org/2000/01/rdf-schema#label" , "four-man-men" ,
 "http://xlore.org/relay-3x5km-womencross-country-skiing-grenoble-1968" , "http://xlore.org/olympic/property/4" , "http://xlore.org/olympic/instance/1819" ,
 "http://xlore.org/relay-3x5km-womencross-country-skiing-grenoble-1968" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2002/07/owl#NamedIndividual" ,
 "http://xlore.org/relay-3x5km-womencross-country-skiing-grenoble-1968" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://xlore.org/sport4" ,
 "http://xlore.org/relay-3x5km-womencross-country-skiing-grenoble-1968" , "http://xlore.org/olympic/property/3" , "http://xlore.org/olympic/instance/101" ,
 "http://xlore.org/relay-3x5km-womencross-country-skiing-grenoble-1968" , "http://xlore.org/olympic/property/2" , "http://xlore.org/olympic/instance/50" ,
 "http://xlore.org/relay-3x5km-womencross-country-skiing-grenoble-1968" , "http://www.w3.org/2000/01/rdf-schema#label" , "relay-3x5km-women" ,
 "http://xlore.org/relay-3x5km-womencross-country-skiing-grenoble-1968" , "http://www.w3.org/2000/01/rdf-schema#label" , "女子3x5公里接力赛" ,
 "http://xlore.org/mens-sprint-classiccross-country-skiing-pyeongchang-2018" , "http://xlore.org/olympic/property/4" , "http://xlore.org/olympic/instance/81" ,
 "http://xlore.org/mens-sprint-classiccross-country-skiing-pyeongchang-2018" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2002/07/owl#NamedIndividual" ,
 "http://xlore.org/mens-sprint-classiccross-country-skiing-pyeongchang-2018" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://xlore.org/sport4" ,
 "http://xlore.org/mens-sprint-classiccross-country-skiing-pyeongchang-2018" , "http://xlore.org/olympic/property/3" , "http://xlore.org/olympic/instance/80" ,
 "http://xlore.org/mens-sprint-classiccross-country-skiing-pyeongchang-2018" , "http://xlore.org/olympic/property/2" , "http://xlore.org/olympic/instance/79" ,
 "http://xlore.org/mens-sprint-classiccross-country-skiing-pyeongchang-2018" , "http://www.w3.org/2000/01/rdf-schema#label" , 男子竞速赛 ,
